@relation 'Risk data-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement'

@attribute ID numeric
@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {m,f}
@attribute MARITAL {married,single,divsepwid}
@attribute NUMKIDS numeric
@attribute NUMCARDS numeric
@attribute HOWPAID {monthly,weekly}
@attribute MORTGAGE {y,n}
@attribute STORECAR numeric
@attribute LOANS numeric
@attribute RISK {'good risk','bad loss','bad profit'}

@data
102457,26,22364,m,single,1,1,monthly,y,1,1,'bad profit'
103786,28,23871,m,married,3,3,weekly,y,4,2,'bad loss'
101821,24,24914,m,married,1,2,weekly,y,2,1,'bad loss'
101783,24,21702,f,married,2,2,monthly,y,1,2,'bad loss'
102888,40,24660,m,divsepwid,3,6,weekly,y,4,2,'bad profit'
102878,40,20021,f,divsepwid,4,6,weekly,n,5,2,'bad loss'
103042,34,24172,f,divsepwid,3,5,weekly,n,4,3,'bad profit'
103922,45,24516,f,married,3,3,monthly,y,4,2,'bad loss'
103975,46,27569,m,married,3,3,weekly,y,4,2,'bad loss'
100760,44,43794,f,married,0,2,monthly,y,2,0,'good risk'
102305,29,20509,f,single,1,2,monthly,n,2,1,'good risk'
100202,28,33489,m,single,0,1,monthly,y,0,0,'good risk'
103434,31,19319,m,divsepwid,4,6,weekly,y,3,2,'bad profit'
100510,37,43976,f,married,0,2,monthly,y,2,0,'good risk'
100754,44,50816,m,married,0,2,monthly,y,1,1,'bad profit'
101784,27,21696,f,married,2,2,weekly,y,1,2,'bad profit'
103752,40,20588,m,married,3,4,weekly,y,4,2,'bad loss'
102041,20,20947,m,single,1,2,weekly,y,1,1,'bad profit'
101929,25,23698,f,married,2,2,monthly,y,3,1,'bad profit'
102619,24,20418,f,single,1,2,monthly,n,2,1,'bad profit'
100329,32,44781,m,married,1,1,monthly,y,1,0,'good risk'
102687,30,24996,f,single,1,3,monthly,n,3,1,'bad profit'
103417,46,27133,m,divsepwid,2,5,weekly,y,5,2,'good risk'
100332,32,42389,m,married,0,1,monthly,y,2,0,'good risk'
102571,23,23606,f,single,0,1,weekly,y,2,1,'bad loss'
100962,19,21288,f,married,1,2,monthly,y,1,2,'bad loss'
103136,43,23413,m,divsepwid,3,6,weekly,n,4,3,'good risk'
103929,45,27892,m,married,2,4,weekly,y,5,2,'bad loss'
100885,18,16017,f,married,1,1,monthly,y,3,2,'bad profit'
100660,41,49850,m,married,0,2,monthly,y,1,1,'good risk'
101256,20,23599,m,married,2,2,monthly,y,1,2,'bad profit'
101253,20,24530,f,married,2,0,monthly,y,3,2,'bad profit'
102951,41,22962,f,divsepwid,3,6,weekly,n,3,3,'bad loss'
101901,25,20195,f,married,2,2,monthly,y,1,2,'bad profit'
102019,35,21491,f,single,0,2,monthly,n,2,1,'bad profit'
103067,32,29552,m,divsepwid,3,5,weekly,n,5,3,'bad profit'
100867,18,21287,f,married,1,2,monthly,y,3,2,'bad profit'
101680,23,24061,m,married,2,0,weekly,y,1,2,'bad profit'
102562,33,23758,f,single,0,1,monthly,n,3,1,'bad profit'
102167,21,22531,f,single,1,1,weekly,n,1,1,'bad profit'
102614,26,17495,f,single,1,3,weekly,y,3,1,'bad profit'
103257,44,27816,m,divsepwid,2,5,weekly,y,4,3,'good risk'
103575,30,29438,m,divsepwid,4,6,weekly,y,4,2,'good risk'
100471,36,42980,f,married,0,1,monthly,y,1,0,'good risk'
103703,50,23471,f,divsepwid,2,6,weekly,y,3,3,'bad profit'
101386,21,24613,f,married,2,1,monthly,y,2,1,'bad profit'
100496,36,44449,m,married,1,1,monthly,y,1,0,'good risk'
102442,23,22286,f,single,0,1,monthly,n,3,1,'bad profit'
101316,21,21295,m,married,1,2,weekly,y,2,1,'bad profit'
101906,25,21343,m,married,2,2,monthly,y,1,2,'bad loss'
100788,45,41676,f,married,1,2,monthly,y,1,0,'bad loss'
100393,34,41766,m,married,0,1,monthly,y,1,1,'bad profit'
103981,47,21681,m,married,3,3,weekly,y,4,1,'bad loss'
103060,27,27525,m,divsepwid,2,6,weekly,y,5,2,'bad profit'
103149,43,28102,m,divsepwid,2,6,weekly,n,4,2,'bad profit'
100859,18,21151,f,married,2,0,monthly,y,1,2,'bad profit'
100780,45,42823,f,married,1,1,monthly,y,1,1,'bad profit'
100230,30,31689,m,single,0,0,monthly,y,2,0,'good risk'
101498,22,24931,f,married,1,0,weekly,y,3,1,'bad profit'
103439,47,22349,f,divsepwid,3,5,weekly,y,5,3,'bad loss'
102426,38,18629,m,single,0,1,monthly,y,3,1,'bad profit'
102642,24,20675,m,single,1,2,weekly,y,2,1,'bad profit'
101974,25,24740,m,married,2,0,weekly,y,2,1,'bad profit'
101844,24,18211,m,married,1,0,weekly,y,1,2,'bad loss'
102863,25,17210,m,single,0,2,monthly,y,2,1,'bad profit'
103845,36,20452,m,married,3,3,weekly,y,4,1,'bad loss'
