@relation 'Risk data-weka.filters.unsupervised.instance.Resample-S1-Z80.0-no-replacement-V-weka.filters.unsupervised.instance.Resample-S1-Z50.0-no-replacement-V'

@attribute ID numeric
@attribute AGE numeric
@attribute INCOME numeric
@attribute GENDER {m,f}
@attribute MARITAL {married,single,divsepwid}
@attribute NUMKIDS numeric
@attribute NUMCARDS numeric
@attribute HOWPAID {monthly,weekly}
@attribute MORTGAGE {y,n}
@attribute STORECAR numeric
@attribute LOANS numeric
@attribute RISK {'good risk','bad loss','bad profit'}

@data
100336,32,40782,f,married,0,2,monthly,y,2,0,'good risk'
100668,35,59692,m,married,1,1,monthly,y,1,0,'bad loss'
103246,44,25124,f,divsepwid,3,6,weekly,y,3,2,'bad loss'
102964,41,22308,f,divsepwid,4,6,weekly,y,4,2,'bad loss'
102486,30,17132,f,single,0,2,monthly,n,3,1,'bad profit'
103911,44,25302,m,married,3,3,monthly,y,5,1,'bad loss'
103195,44,22091,f,divsepwid,3,6,weekly,y,4,3,'good risk'
100085,31,28315,m,single,0,0,monthly,y,1,0,'bad loss'
102236,21,17296,f,single,0,1,weekly,y,3,1,'bad profit'
103369,32,17095,f,divsepwid,3,6,weekly,n,4,2,'bad profit'
102764,25,22163,m,single,1,2,weekly,y,1,1,'bad profit'
100695,36,58878,f,married,1,1,monthly,y,1,0,'bad profit'
103275,45,21676,f,divsepwid,2,5,weekly,n,5,3,'bad profit'
104092,50,21184,f,married,3,3,monthly,y,5,1,'bad loss'
103232,44,28716,m,divsepwid,3,6,weekly,n,3,3,'good risk'
103790,41,24271,f,married,3,3,monthly,y,4,2,'bad loss'
101578,23,16411,f,married,2,2,weekly,y,3,2,'bad profit'
103582,48,28115,m,divsepwid,2,5,weekly,y,4,2,'bad loss'
104046,48,25035,m,married,3,4,weekly,y,4,2,'bad loss'
102269,21,15904,m,single,1,2,weekly,y,1,1,'bad profit'
102465,23,21167,m,single,1,3,weekly,y,2,1,'good risk'
102730,24,24791,f,single,1,2,monthly,n,3,1,'bad profit'
100265,45,31237,m,single,0,0,monthly,y,0,0,'good risk'
101983,25,15020,f,married,2,0,weekly,y,1,1,'bad profit'
103889,44,23742,f,married,3,3,weekly,y,5,1,'bad loss'
103884,44,23843,f,married,3,4,weekly,y,4,2,'bad loss'
103923,45,24630,m,married,2,4,weekly,y,4,2,'bad loss'
100846,18,15738,f,married,1,0,monthly,y,1,2,'bad profit'
102576,31,16415,f,single,1,1,weekly,y,1,1,'bad profit'
100002,25,15777,m,single,0,0,monthly,y,1,0,'good risk'
101839,24,23339,m,married,1,2,weekly,y,2,1,'bad loss'
100109,33,39162,f,single,0,0,monthly,y,2,0,'bad profit'
101628,23,21821,f,married,1,1,weekly,y,3,2,'bad profit'
101792,24,16454,f,married,1,0,weekly,y,3,1,'bad profit'
101190,32,20187,f,married,2,1,monthly,y,3,2,'bad profit'
104003,47,28154,m,married,2,4,monthly,y,4,1,'bad loss'
103913,22,20992,m,married,3,4,monthly,y,5,2,'bad loss'
103807,42,20621,m,married,2,4,weekly,y,4,2,'bad loss'
104061,49,23648,f,married,3,4,weekly,y,4,2,'bad loss'
103564,27,24327,m,divsepwid,3,5,weekly,y,5,2,'bad loss'
103155,29,29233,m,divsepwid,2,6,weekly,n,4,3,'bad profit'
101406,21,18815,f,married,1,0,monthly,y,1,2,'bad profit'
100592,39,55390,f,married,0,1,monthly,y,1,0,'bad profit'
101194,20,22310,f,married,1,1,monthly,y,1,1,'bad profit'
